nombre,precio_sin_descuento,precio_con_descuento
Hario Mizudashi Cold Brew Coffee Pot,16.50,14.03
Chemex 6 Cup Coffee Maker - Classic & Glass Handle Styles,49.50,47.03
Bee House Ceramic Coffee Dripper,,19.99
Specialty Turkish Coffee Pro 1 Cezve,,82.00
Kalita Wave Drippers,,36.00
Hario V60 Coffee Dripper Size 02,,11.00
Chemex 10 Cup Coffee Maker - Classic & Glass Handle Styles,53.50,50.83
Hario Bona Enamel Pouring Kettle 800 mL,,72.50
Yama Coffee Vacpot 5 Cup Stovetop Siphon/Syphon,,63.00
Origami Dripper - Medium,,40.00
Kalita Thin Spout Kettle - 700mL,,75.00
Hario V60 Coffee Dripper Size 01,,10.00
